Yr_Mo,Live Births
200701,354943
200702,326891
200703,360828
200704,338224
200705,362319
200706,358606
200707,379616
200708,390378
200709,366904
200710,369324
200711,353660
200712,354540
200801,356457
200802,338521
200803,350630
200804,346397
200805,354886
200806,348587
200807,375384
200808,373333
200809,367965
200810,357875
200811,323788
200812,353871
200901,339000
200902,317000
200903,348000
200904,337000
200905,345000
200906,348000
200907,369000
200908,360000
200909,362000
200910,347000
200911,319000
200912,344000
201001,324000
201002,303000
201003,339000
201004,326000
201005,329000
201006,335000
201007,345000
201008,352000
201009,354000
201010,338000
201011,326000
201012,337000
201101,321000
201102,299000
201103,331000
201104,314000
201105,327000
201106,338000
201107,346000
201108,360000
201109,346000
201110,329000
201111,322000
201112,328000
201201,317000
201202,305000
201203,324000
201204,308000
201205,329000
201206,328000
